spot,strike,volatility,rate,expiry,price,bs_price
88.3838,99.9021,0.26775,0.0235993,0.434446,2.61705,2.61771
83.2403,96.8128,0.489041,0.0442491,0.31841,4.85784,4.87002
86.9403,97.0814,0.299137,0.026753,0.357286,2.91284,2.91834
83.1708,113.247,0.345745,0.0348317,1.45261,6.35401,6.369
100.973,112.278,0.334388,0.028076,1.60214,14.4564,14.4528
119.256,110.232,0.243507,0.0177148,1.95886,22.541,22.492
92.9866,102.844,0.498585,0.0194694,0.267983,6.01529,6.04043
116.797,95.2909,0.462492,0.0495486,0.763899,32.1019,32.0595
105.09,101.927,0.233192,0.0103797,0.479982,8.65517,8.64271
100.26,103.406,0.392936,0.0362435,0.59028,11.6239,11.6144
110.891,105.124,0.411849,0.0282987,1.96479,30.0323,30.0265
104.982,90.7728,0.309192,0.0292717,0.722831,20.1722,20.1437
112.949,95.1321,0.351269,0.0233007,0.66359,23.8622,23.7937
97.2758,98.4295,0.265578,0.0232324,1.14309,11.6223,11.6293
109.642,113.876,0.477488,0.0110267,0.338464,10.4885,10.5097
103.996,109.933,0.363764,0.0134006,1.69009,18.0832,18.0728
101.391,107.341,0.110508,0.0391468,0.173478,0.334356,0.33392
102.055,83.2827,0.177227,0.0292074,0.613295,20.5612,20.55
116.737,116.239,0.146317,0.023203,0.814872,7.51235,7.50743
105.278,115.444,0.147038,0.0331675,0.810604,2.88043,2.87523
119.604,97.4896,0.181666,0.0404087,0.565838,24.5842,24.6094
95.6583,86.2316,0.286692,0.0166731,1.26603,18.0151,17.9966
82.9442,101.682,0.105289,0.0126386,0.759936,0.0513931,0.0520927
94.8688,118.844,0.238892,0.0187845,0.318969,0.312282,0.311905
117.728,115.516,0.135576,0.0162546,1.53641,10.5125,10.5059
114.436,81.0629,0.130884,0.0204989,1.16178,35.3231,35.2998
109.79,105.861,0.448118,0.0148699,1.3009,24.6414,24.6484
107.535,107.138,0.241759,0.0332523,1.03183,12.4291,12.4411
89.5268,102.217,0.498802,0.0257938,1.79112,20.595,20.622
102.921,115.629,0.371593,0.0317193,0.264053,3.68364,3.68808
99.733,111.012,0.498694,0.0356878,1.70359,23.7463,23.7498
107.02,114.348,0.182185,0.048073,0.522099,3.75965,3.76448
102.283,83.9863,0.445549,0.0364401,0.93096,28.2729,28.3171
103.342,100.238,0.435089,0.0221244,0.556644,15.3232,15.3229
90.7721,86.474,0.331465,0.02923,0.612661,12.2848,12.2781
100.037,115.576,0.118834,0.015328,0.935932,0.790264,0.790625
90.292,106.449,0.135257,0.043631,1.96551,3.98579,3.99887
113.733,96.341,0.38973,0.015085,1.91419,33.4872,33.4829
99.8484,108.424,0.479872,0.0109347,0.590597,11.5547,11.5615
115.129,82.2614,0.117285,0.0132994,1.53053,34.5716,34.5567
104.89,92.4132,0.298235,0.0245185,1.46499,23.1606,23.1323
80.1256,105.36,0.377301,0.0182098,1.01135,5.11228,5.11328
104.57,87.1482,0.436768,0.0108064,1.34985,29.7451,29.7967
108.377,94.0111,0.437494,0.0233519,1.0253,27.0164,27.0352
118.541,103.688,0.231431,0.0480943,0.775426,21.1371,21.1241
115.552,100.393,0.182788,0.0464268,1.84952,25.9181,25.932
118.005,117.092,0.172364,0.0440493,0.148415,4.00912,4.01274
118.641,89.6033,0.251499,0.0406107,0.467875,31.0084,31.0131
112.607,89.8877,0.479943,0.0410448,0.393542,27.7187,27.7339
111.599,93.1386,0.147281,0.020162,1.28913,21.7438,21.7234
116.697,114.206,0.44277,0.0290336,0.413067,15.0201,15.0015
110.924,116.84,0.36326,0.018387,1.2489,16.5088,16.5183
92.1878,87.9462,0.108412,0.0403871,1.64108,11.2986,11.2922
101.365,112.693,0.260864,0.0131492,0.167565,1.00306,1.00165
115.142,92.4928,0.410638,0.0406658,1.17744,34.5172,34.4578
92.3104,111.164,0.324419,0.0188281,0.835288,5.21893,5.21372
